experimento,visibilidad_barrida,repeticion,semilla_alice,semilla_bob,distancia_km,mu,eficiencia_detector,conteos_oscuros_hz,visibilidad,claves_completadas,bits_tamizados,errores,qber,tiempo_hasta_ultima_clave_s,tasa_tamizada_bps,indicador_ideal_bps,clics_detector_0,clics_detector_1,clics_detector_2,clics_detector_total,rendimiento_fondo_pulso,referencia_tasa_tamizada_bps
visibilidad,0.8362727272727273,7,40114,40115,30.0,0.1,0.15,200.0,0.8362727272727273,4,1024,10,0.009765625,0.006677999941,153339.32450539386,127095.55232860155,4566,2064,2172,8802,5.999998200501011e-07,150453.52108594033
visibilidad,0.8362727272727273,8,40116,40117,30.0,0.1,0.15,200.0,0.8362727272727273,4,1024,9,0.0087890625,0.006773999938,151166.2251804408,127443.30823698807,4617,2139,2169,8925,5.999998200501011e-07,150453.52108594033
visibilidad,0.8362727272727273,9,40118,40119,30.0,0.1,0.15,200.0,0.8362727272727273,4,1024,23,0.0224609375,0.00670999994,152608.04905461744,101500.52039817815,4630,2081,2074,8785,5.999998200501011e-07,150453.52108594033
visibilidad,0.8362727272727273,10,40120,40121,30.0,0.1,0.15,200.0,0.8362727272727273,4,1024,19,0.0185546875,0.006645999942,154077.64203077086,109732.09014578549,4645,2082,1983,8710,5.999998200501011e-07,150453.52108594033
visibilidad,0.8362727272727273,11,40122,40123,30.0,0.1,0.15,200.0,0.8362727272727273,4,1024,11,0.0107421875,0.006677999941,153339.32450539386,124962.92961443988,4714,1962,2048,8724,5.999998200501011e-07,150453.52108594033
visibilidad,0.8362727272727273,12,40124,40125,30.0,0.1,0.15,200.0,0.8362727272727273,4,1024,13,0.0126953125,0.006677999941,153339.32450539386,120822.95926062949,4539,2015,2117,8671,5.999998200501011e-07,150453.52108594033
visibilidad,0.8362727272727273,13,40126,40127,30.0,0.1,0.15,200.0,0.8362727272727273,4,1024,14,0.013671875,0.006773999938,151166.2251804408,117125.3207384672,4699,2087,2111,8897,5.999998200501011e-07,150453.52108594033
visibilidad,0.8362727272727273,14,40128,40129,30.0,0.1,0.15,200.0,0.8362727272727273,4,1024,19,0.0185546875,0.0067419999389999995,151883.71540565212,108169.60417424726,4739,2198,2130,9067,5.999998200501011e-07,150453.52108594033
visibilidad,0.8362727272727273,15,40130,40131,30.0,0.1,0.15,200.0,0.8362727272727273,4,1024,17,0.0166015625,0.006677999941,153339.32450539386,112961.67630523643,4687,2092,2104,8883,5.999998200501011e-07,150453.52108594033
visibilidad,0.8362727272727273,16,40132,40133,30.0,0.1,0.15,200.0,0.8362727272727273,4,1024,12,0.01171875,0.006677999941,153339.32450539386,122873.24798802043,4593,2179,2117,8889,5.999998200501011e-07,150453.52108594033
