experimento,distancia_km_barrida,repeticion,semilla_alice,semilla_bob,distancia_km,mu,eficiencia_detector,conteos_oscuros_hz,visibilidad,claves_completadas,bits_tamizados,errores,qber,tiempo_hasta_ultima_clave_s,tasa_tamizada_bps,indicador_ideal_bps,clics_detector_0,clics_detector_1,clics_detector_2,clics_detector_total,rendimiento_fondo_pulso,referencia_tasa_tamizada_bps
distancia,8.615384615384615,18,10136,10137,8.615384615384615,0.1,0.1,100.0,0.98,1,256,0,0.0,0.005791384567,44203.59191111544,44203.59191111055,1458,737,767,2962,2.9999995498908305e-07,268109.4429807507
distancia,8.615384615384615,19,10138,10139,8.615384615384615,0.1,0.1,100.0,0.98,1,256,0,0.0,0.005919384563,43247.73923292066,43247.73923291587,1429,822,744,2995,2.9999995498908305e-07,268109.4429807507
distancia,8.615384615384615,20,10140,10141,8.615384615384615,0.1,0.1,100.0,0.98,1,256,1,0.00390625,0.005855384565,43720.44178450984,40238.15522385914,1432,780,744,2956,2.9999995498908305e-07,268109.4429807507
distancia,8.615384615384615,21,10142,10143,8.615384615384615,0.1,0.1,100.0,0.98,1,256,0,0.0,0.0058233845659999995,43960.68937206439,43960.689372059525,1483,754,731,2968,2.9999995498908305e-07,268109.4429807507
distancia,8.615384615384615,22,10144,10145,8.615384615384615,0.1,0.1,100.0,0.98,1,256,1,0.00390625,0.005887384564,43482.80585667548,40019.44674424005,1419,757,769,2945,2.9999995498908305e-07,268109.4429807507
distancia,8.615384615384615,23,10146,10147,8.615384615384615,0.1,0.1,100.0,0.98,1,256,1,0.00390625,0.005727384569,44697.53984840196,41137.42846902916,1507,707,700,2914,2.9999995498908305e-07,268109.4429807507
distancia,8.615384615384615,24,10148,10149,8.615384615384615,0.1,0.1,100.0,0.98,1,256,1,0.00390625,0.005791384567,44203.59191111544,40682.822958156175,1462,674,720,2856,2.9999995498908305e-07,268109.4429807507
distancia,8.615384615384615,25,10150,10151,8.615384615384615,0.1,0.1,100.0,0.98,1,256,1,0.00390625,0.00569538457,44948.6767493209,41368.56258362531,1379,776,681,2836,2.9999995498908305e-07,268109.4429807507
distancia,8.615384615384615,26,10152,10153,8.615384615384615,0.1,0.1,100.0,0.98,1,256,0,0.0,0.005855384565,43720.44178450984,43720.441784505,1445,716,767,2928,2.9999995498908305e-07,268109.4429807507
distancia,8.615384615384615,27,10154,10155,8.615384615384615,0.1,0.1,100.0,0.98,1,256,0,0.0,0.0059833845609999995,42785.14900556799,42785.149005563246,1441,751,806,2998,2.9999995498908305e-07,268109.4429807507
distancia,8.615384615384615,28,10156,10157,8.615384615384615,0.1,0.1,100.0,0.98,1,256,0,0.0,0.006079384558,42109.52565307352,42109.52565306886,1477,788,819,3084,2.9999995498908305e-07,268109.4429807507
distancia,8.615384615384615,29,10158,10159,8.615384615384615,0.1,0.1,100.0,0.98,1,256,0,0.0,0.0058233845659999995,43960.68937206439,43960.689372059525,1474,743,744,2961,2.9999995498908305e-07,268109.4429807507
distancia,16.23076923076923,0,10200,10201,16.23076923076923,0.1,0.1,100.0,0.98,1,256,1,0.00390625,0.006525769165,39229.09216173601,36104.53680855243,1247,655,664,2566,2.9999995498908305e-07,188992.30128474275
distancia,16.23076923076923,1,10202,10203,16.23076923076923,0.1,0.1,100.0,0.98,1,256,1,0.00390625,0.006941769152,36878.207038366236,33940.89717805974,1277,691,652,2620,2.9999995498908305e-07,188992.30128474275
distancia,16.23076923076923,2,10204,10205,16.23076923076923,0.1,0.1,100.0,0.98,1,256,0,0.0,0.006813769156,37570.982247699736,37570.982247695574,1232,734,670,2636,2.9999995498908305e-07,188992.30128474275
distancia,16.23076923076923,3,10206,10207,16.23076923076923,0.1,0.1,100.0,0.98,1,256,2,0.0078125,0.006557769164,39037.66564479823,33479.672897903954,1268,662,680,2610,2.9999995498908305e-07,188992.30128474275
distancia,16.23076923076923,4,10208,10209,16.23076923076923,0.1,0.1,100.0,0.98,1,256,0,0.0,0.0065897691629999994,38848.09826683758,38848.09826683327,1263,677,661,2601,2.9999995498908305e-07,188992.30128474275
distancia,16.23076923076923,5,10210,10211,16.23076923076923,0.1,0.1,100.0,0.98,1,256,2,0.0078125,0.006653769161,38474.4336338722,32996.6311181262,1247,583,694,2524,2.9999995498908305e-07,188992.30128474275
distancia,16.23076923076923,6,10212,10213,16.23076923076923,0.1,0.1,100.0,0.98,1,256,1,0.00390625,0.00668576916,38290.28401572872,35240.50373014359,1269,656,660,2585,2.9999995498908305e-07,188992.30128474275
distancia,16.23076923076923,7,10214,10215,16.23076923076923,0.1,0.1,100.0,0.98,1,256,0,0.0,0.006461769167,39617.633094568264,39617.63309456388,1224,608,644,2476,2.9999995498908305e-07,188992.30128474275
distancia,16.23076923076923,8,10216,10217,16.23076923076923,0.1,0.1,100.0,0.98,1,256,0,0.0,0.006525769165,39229.09216173601,39229.09216173166,1262,622,606,2490,2.9999995498908305e-07,188992.30128474275
distancia,16.23076923076923,9,10218,10219,16.23076923076923,0.1,0.1,100.0,0.98,1,256,0,0.0,0.006493769166,39422.40530204889,39422.40530204452,1232,642,608,2482,2.9999995498908305e-07,188992.30128474275
distancia,16.23076923076923,10,10220,10221,16.23076923076923,0.1,0.1,100.0,0.98,1,256,2,0.0078125,0.006717769159,38107.88878582245,32682.2731407108,1301,691,670,2662,2.9999995498908305e-07,188992.30128474275
distancia,16.23076923076923,11,10222,10223,16.23076923076923,0.1,0.1,100.0,0.98,1,256,1,0.00390625,0.006557769164,39037.66564479823,35928.35720953397,1241,643,653,2537,2.9999995498908305e-07,188992.30128474275
distancia,16.23076923076923,12,10224,10225,16.23076923076923,0.1,0.1,100.0,0.98,1,256,2,0.0078125,0.006621769162,38660.363074734436,33156.088830551875,1217,628,669,2514,2.9999995498908305e-07,188992.30128474275
distancia,16.23076923076923,13,10226,10227,16.23076923076923,0.1,0.1,100.0,0.98,1,256,0,0.0,0.006557769164,39037.66564479823,39037.66564479391,1184,653,641,2478,2.9999995498908305e-07,188992.30128474275
distancia,16.23076923076923,14,10228,10229,16.23076923076923,0.1,0.1,100.0,0.98,1,256,0,0.0,0.006781769157,37748.262153064024,37748.26215305984,1359,680,715,2754,2.9999995498908305e-07,188992.30128474275
distancia,16.23076923076923,15,10230,10231,16.23076923076923,0.1,0.1,100.0,0.98,1,256,0,0.0,0.006621769162,38660.363074734436,38660.36307473015,1289,685,646,2620,2.9999995498908305e-07,188992.30128474275
distancia,16.23076923076923,16,10232,10233,16.23076923076923,0.1,0.1,100.0,0.98,1,256,0,0.0,0.0065897691629999994,38848.09826683758,38848.09826683327,1246,679,634,2559,2.9999995498908305e-07,188992.30128474275
distancia,16.23076923076923,17,10234,10235,16.23076923076923,0.1,0.1,100.0,0.98,1,256,1,0.00390625,0.006493769166,39422.40530204889,36282.45276340623,1257,640,698,2595,2.9999995498908305e-07,188992.30128474275
distancia,16.23076923076923,18,10236,10237,16.23076923076923,0.1,0.1,100.0,0.98,1,256,0,0.0,0.006525769165,39229.09216173601,39229.09216173166,1262,671,609,2542,2.9999995498908305e-07,188992.30128474275
distancia,16.23076923076923,19,10238,10239,16.23076923076923,0.1,0.1,100.0,0.98,1,256,0,0.0,0.00668576916,38290.28401572872,38290.28401572448,1225,699,660,2584,2.9999995498908305e-07,188992.30128474275
distancia,16.23076923076923,20,10240,10241,16.23076923076923,0.1,0.1,100.0,0.98,1,256,0,0.0,0.006717769159,38107.88878582245,38107.88878581823,1240,622,668,2530,2.9999995498908305e-07,188992.30128474275
distancia,16.23076923076923,21,10242,10243,16.23076923076923,0.1,0.1,100.0,0.98,1,256,1,0.00390625,0.0067497691579999994,37927.22299200147,34906.36012975467,1238,702,643,2583,2.9999995498908305e-07,188992.30128474275
distancia,16.23076923076923,22,10244,10245,16.23076923076923,0.1,0.1,100.0,0.98,1,256,1,0.00390625,0.006781769157,37748.262153064024,34741.653330778354,1240,610,687,2537,2.9999995498908305e-07,188992.30128474275
distancia,16.23076923076923,23,10246,10247,16.23076923076923,0.1,0.1,100.0,0.98,1,256,0,0.0,0.006941769152,36878.207038366236,36878.20703836215,1281,682,623,2586,2.9999995498908305e-07,188992.30128474275
distancia,16.23076923076923,24,10248,10249,16.23076923076923,0.1,0.1,100.0,0.98,1,256,0,0.0,0.006717769159,38107.88878582245,38107.88878581823,1199,671,657,2527,2.9999995498908305e-07,188992.30128474275
distancia,16.23076923076923,25,10250,10251,16.23076923076923,0.1,0.1,100.0,0.98,1,256,0,0.0,0.006781769157,37748.262153064024,37748.26215305984,1276,698,642,2616,2.9999995498908305e-07,188992.30128474275
distancia,16.23076923076923,26,10252,10253,16.23076923076923,0.1,0.1,100.0,0.98,1,256,1,0.00390625,0.006461769167,39617.633094568264,36462.130870460256,1192,653,607,2452,2.9999995498908305e-07,188992.30128474275
distancia,16.23076923076923,27,10254,10255,16.23076923076923,0.1,0.1,100.0,0.98,1,256,0,0.0,0.006813769156,37570.982247699736,37570.982247695574,1230,644,639,2513,2.9999995498908305e-07,188992.30128474275
distancia,16.23076923076923,28,10256,10257,16.23076923076923,0.1,0.1,100.0,0.98,1,256,1,0.00390625,0.006717769159,38107.88878582245,35072.636085776365,1224,620,662,2506,2.9999995498908305e-07,188992.30128474275
distancia,16.23076923076923,29,10258,10259,16.23076923076923,0.1,0.1,100.0,0.98,1,256,0,0.0,0.006525769165,39229.09216173601,39229.09216173166,1264,623,663,2550,2.9999995498908305e-07,188992.30128474275
distancia,23.846153846153847,0,10300,10301,23.846153846153847,0.1,0.1,100.0,0.98,1,256,0,0.0,0.007644153751,33489.645595695976,33489.645595692265,1050,584,606,2240,2.9999995498908305e-07,133183.9720175987
distancia,23.846153846153847,1,10302,10303,23.846153846153847,0.1,0.1,100.0,0.98,1,256,1,0.00390625,0.007612153752,33630.42948688985,30951.80164483085,1011,527,567,2105,2.9999995498908305e-07,133183.9720175987
distancia,23.846153846153847,2,10304,10305,23.846153846153847,0.1,0.1,100.0,0.98,1,256,1,0.00390625,0.007548153754,33915.57834448427,31214.238700026744,1114,550,556,2220,2.9999995498908305e-07,133183.9720175987
distancia,23.846153846153847,3,10306,10307,23.846153846153847,0.1,0.1,100.0,0.98,1,256,0,0.0,0.00799615374,32015.392440415988,32015.39244041244,1090,580,656,2326,2.9999995498908305e-07,133183.9720175987
distancia,23.846153846153847,4,10308,10309,23.846153846153847,0.1,0.1,100.0,0.98,1,256,0,0.0,0.007740153748,33074.27841031563,33074.27841031196,1050,584,573,2207,2.9999995498908305e-07,133183.9720175987
