experimento,indice_punto,repeticion,variable,semilla_alice,semilla_bob,distancia_km,atenuacion_db_km,eficiencia_detector,conteos_oscuros_hz,mu,frecuencia_hz,visibilidad,longitud_clave_bits,claves_solicitadas,claves_completadas,horizonte_s,retardo_clasico_extra_s,corrida_completa,pulsos_emitidos,clics,slots_con_clic,slots_validos,slots_validos_con_bases_comparadas,bits_observados_con_bases_coincidentes,bits_tamizados,errores,qber,tasa_tamizada_bps,tiempo_hasta_ultima_clave_s,fraccion_tamizado,ganancia_clic_observada,tasa_clics_bps,contabilidad_consistente,distancia_km_barrida,proxy_asintotico_monofotonico_bps,clics_detector_0,clics_detector_1,clics_detector_2,clics_detector_total,rendimiento_fondo_pulso,referencia_tasa_tamizada_bps,eficiencia_barrida,conteos_oscuros_barridos_hz,retardo_clasico_extra_ps,visibilidad_barrida,intensidad_media_fotones,intensidad_senuelo,mu_referencia,mu_senal,nu_debil,y0,corrida_pareada_completa,E_reference,E_mu,E_nu,q_reference,q_mu,q_nu,y1_cota_inferior,e1_cota_superior,q1_cota_inferior,e1_clamp_limite_fisico,tasa_sin_senuelos_referencia_bps,tasa_sin_senuelos_pareada_bps,tasa_con_senuelos_bps
decoy_signal_mu,5,4,0.6,61008,61009,52.22222222222222,0.2,0.12,80.0,0.6,80000000.0,0.97,2048,3,3,1.8,0.001,True,767925,32038,31893,23266,16823,7577,6144,15,0.00244140625,566290.4823663057,0.010849555469,0.4503952921595435,0.041531399550737376,2939567.440447361,True,,536072.1251461259,16800,7712,7688,32200,2.3999997122992056e-07,259151.31506078382,,,,,0.6,mu_signal,0.1,0.6,0.2,2.3999997122992056e-07,True,0.0030924479166666665,0.00244140625,0.00390625,0.0010829234282951905,0.006478782876519595,0.0021644346529318126,0.009988155009842499,0.005109424097327881,0.003288969415507445,False,0.0,0.0,118047.78096397287
decoy_weak_nu,5,4,0.2,71008,71009,52.22222222222222,0.2,0.12,80.0,0.2,80000000.0,0.97,2048,3,3,1.8,0.001,True,1556480,22836,22809,16719,14502,6616,6144,24,0.00390625,296731.9577244657,0.020705555435,0.45621293614673836,0.014654219777960527,1101588.4153218323,True,,273097.57375386317,12100,5510,5357,22967,2.3999997122992056e-07,86577.3861172725,,,,,0.2,nu,0.1,0.6,0.2,2.3999997122992056e-07,True,,,,,,,,,,,,,
decoy_reference_mu,5,5,0.1,51010,51011,52.22222222222222,0.2,0.12,80.0,0.1,80000000.0,0.97,2048,3,3,1.8,0.001,True,2744320,20498,20483,15064,13940,6388,6144,16,0.0026041666666666665,172809.72112302558,0.035553555437,0.4582496413199426,0.007463779734141791,576116.7834900607,True,,163064.11726783848,11068,4794,4770,20632,2.3999997122992056e-07,43316.93713180762,,,,,0.1,mu_reference,0.1,0.6,0.2,2.3999997122992056e-07,True,,,,,,,,,,,,,
decoy_signal_mu,5,5,0.6,61010,61011,52.22222222222222,0.2,0.12,80.0,0.6,80000000.0,0.97,2048,3,3,1.8,0.001,True,771338,31755,31606,22939,16627,7532,6144,11,0.0017903645833333333,564072.2273058931,0.010892222134999999,0.45299813556263907,0.04097555157401814,2901703.583370778,True,,541021.8027881365,16601,7680,7614,31895,2.3999997122992056e-07,259151.31506078382,,,,,0.6,mu_signal,0.1,0.6,0.2,2.3999997122992056e-07,True,0.0026041666666666665,0.0017903645833333333,0.0032552083333333335,0.0010829234282951905,0.006478782876519595,0.0021644346529318126,0.009988155009842499,0.004247841556602901,0.003288969415507445,False,0.0,0.0,120663.87313714279
decoy_weak_nu,5,5,0.2,71010,71011,52.22222222222222,0.2,0.12,80.0,0.2,80000000.0,0.97,2048,3,3,1.8,0.001,True,1576960,22836,22793,16637,14420,6604,6144,20,0.0032552083333333335,293108.0195664982,0.020961555433,0.4579750346740638,0.014453759131493507,1087371.596676301,True,,273110.1733334349,12112,5507,5378,22997,2.3999997122992056e-07,86577.3861172725,,,,,0.2,nu,0.1,0.6,0.2,2.3999997122992056e-07,True,,,,,,,,,,,,,
decoy_reference_mu,5,6,0.1,51012,51013,52.22222222222222,0.2,0.12,80.0,0.1,80000000.0,0.97,2048,3,3,1.8,0.001,True,2785280,20659,20643,15178,14022,6404,6144,13,0.0021158854166666665,170356.45024442143,0.036065555435,0.4567108828983027,0.007411463120404411,572374.3819003241,True,,162317.05130713858,11161,4869,4785,20815,2.3999997122992056e-07,43316.93713180762,,,,,0.1,mu_reference,0.1,0.6,0.2,2.3999997122992056e-07,True,,,,,,,,,,,,,
decoy_signal_mu,5,6,0.6,61012,61013,52.22222222222222,0.2,0.12,80.0,0.6,80000000.0,0.97,2048,3,3,1.8,0.001,True,761099,31425,31260,22968,16472,7519,6144,26,0.004231770833333333,570779.7481139997,0.010764222137,0.45647158814958716,0.04107218640413402,2904064.929369081,True,,522132.9558776058,16600,7510,7458,31568,2.3999997122992056e-07,259151.31506078382,,,,,0.6,mu_signal,0.1,0.6,0.2,2.3999997122992056e-07,True,0.0021158854166666665,0.004231770833333333,0.004231770833333333,0.0010829234282951905,0.006478782876519595,0.0021644346529318126,0.009988155009842499,0.0055402153676903714,0.003288969415507445,False,0.0,0.0,113185.11632051137
decoy_weak_nu,5,6,0.2,71012,71013,52.22222222222222,0.2,0.12,80.0,0.2,80000000.0,0.97,2048,3,3,1.8,0.001,True,1576960,22835,22801,16561,14394,6616,6144,26,0.004231770833333333,293108.0195664982,0.020961555433,0.45963595942753926,0.014458832183441558,1087753.2477434448,True,,268126.8162603422,12090,5459,5456,23005,2.3999997122992056e-07,86577.3861172725,,,,,0.2,nu,0.1,0.6,0.2,2.3999997122992056e-07,True,,,,,,,,,,,,,
decoy_reference_mu,5,7,0.1,51014,51015,52.22222222222222,0.2,0.12,80.0,0.1,80000000.0,0.97,2048,3,3,1.8,0.001,True,2785280,20601,20588,15099,13984,6390,6144,15,0.00244140625,170356.45024442143,0.036065555435,0.4569508009153318,0.0073917164522058825,570849.381125024,True,,161265.90002585395,11101,4884,4783,20768,2.3999997122992056e-07,43316.93713180762,,,,,0.1,mu_reference,0.1,0.6,0.2,2.3999997122992056e-07,True,,,,,,,,,,,,,
decoy_signal_mu,5,7,0.6,61014,61015,52.22222222222222,0.2,0.12,80.0,0.6,80000000.0,0.97,2048,3,3,1.8,0.001,True,771338,31946,31787,23068,16673,7524,6144,25,0.004069010416666667,564072.2273058931,0.010892222134999999,0.451268517963174,0.04121020875413891,2918320.9455358763,True,,517565.04519990523,16746,7764,7585,32095,2.3999997122992056e-07,259151.31506078382,,,,,0.6,mu_signal,0.1,0.6,0.2,2.3999997122992056e-07,True,0.00244140625,0.004069010416666667,0.004557291666666667,0.0010829234282951905,0.006478782876519595,0.0021644346529318126,0.009988155009842499,0.005971006638052863,0.003288969415507445,False,0.0,0.0,113150.72365616291
