experimento,eficiencia_barrida,repeticion,semilla_alice,semilla_bob,distancia_km,mu,eficiencia_detector,conteos_oscuros_hz,visibilidad,claves_completadas,bits_tamizados,errores,qber,tiempo_hasta_ultima_clave_s,tasa_tamizada_bps,indicador_ideal_bps,clics_detector_0,clics_detector_1,clics_detector_2,clics_detector_total,rendimiento_fondo_pulso,referencia_tasa_tamizada_bps,conteos_oscuros_barridos_hz
eficiencia_detector,0.12272727272727273,15,20130,20131,5.0,0.1,0.12272727272727273,100.0,0.98,4,1024,0,0.0,0.000868999978,1178365.9676916585,1178365.967691528,2053,997,998,4048,2.9999995498908305e-07,388060.30268486944,
eficiencia_detector,0.12272727272727273,16,20132,20133,5.0,0.1,0.12272727272727273,100.0,0.98,4,1024,2,0.001953125,0.0008369999789999999,1223416.9960474994,1169526.490226373,1959,964,902,3825,2.9999995498908305e-07,388060.30268486944,
eficiencia_detector,0.12272727272727273,17,20134,20135,5.0,0.1,0.12272727272727273,100.0,0.98,4,1024,4,0.00390625,0.00080499998,1272049.7210447136,1170732.3173938908,1983,889,900,3772,2.9999995498908305e-07,388060.30268486944,
eficiencia_detector,0.12272727272727273,18,20136,20137,5.0,0.1,0.12272727272727273,100.0,0.98,4,1024,6,0.005859375,0.0008369999789999999,1223416.9960474994,1086330.5779225964,1974,926,950,3850,2.9999995498908305e-07,388060.30268486944,
eficiencia_detector,0.12272727272727273,19,20138,20139,5.0,0.1,0.12272727272727273,100.0,0.98,4,1024,3,0.0029296875,0.0008369999789999999,1223416.9960474994,1147115.441999959,1970,918,1000,3888,2.9999995498908305e-07,388060.30268486944,
eficiencia_detector,0.12272727272727273,20,20140,20141,5.0,0.1,0.12272727272727273,100.0,0.98,4,1024,3,0.0029296875,0.00080499998,1272049.7210447136,1192715.0617625376,1942,936,878,3756,2.9999995498908305e-07,388060.30268486944,
eficiencia_detector,0.12272727272727273,21,20142,20143,5.0,0.1,0.12272727272727273,100.0,0.98,4,1024,1,0.0009765625,0.00080499998,1272049.7210447136,1241348.2305920776,1949,913,917,3779,2.9999995498908305e-07,388060.30268486944,
eficiencia_detector,0.12272727272727273,22,20144,20145,5.0,0.1,0.12272727272727273,100.0,0.98,4,1024,0,0.0,0.0008369999789999999,1223416.9960474994,1223416.9960473638,2041,971,928,3940,2.9999995498908305e-07,388060.30268486944,
eficiencia_detector,0.12272727272727273,23,20146,20147,5.0,0.1,0.12272727272727273,100.0,0.98,4,1024,6,0.005859375,0.00080499998,1272049.7210447136,1129513.9049671418,1912,925,915,3752,2.9999995498908305e-07,388060.30268486944,
eficiencia_detector,0.12272727272727273,24,20148,20149,5.0,0.1,0.12272727272727273,100.0,0.98,4,1024,4,0.00390625,0.0008369999789999999,1223416.9960474994,1125973.13707631,1942,946,984,3872,2.9999995498908305e-07,388060.30268486944,
eficiencia_detector,0.12272727272727273,25,20150,20151,5.0,0.1,0.12272727272727273,100.0,0.98,4,1024,3,0.0029296875,0.00080499998,1272049.7210447136,1192715.0617625376,1926,922,909,3757,2.9999995498908305e-07,388060.30268486944,
eficiencia_detector,0.12272727272727273,26,20152,20153,5.0,0.1,0.12272727272727273,100.0,0.98,4,1024,1,0.0009765625,0.0008369999789999999,1223416.9960474994,1193889.2782214251,1997,916,931,3844,2.9999995498908305e-07,388060.30268486944,
eficiencia_detector,0.12272727272727273,27,20154,20155,5.0,0.1,0.12272727272727273,100.0,0.98,4,1024,2,0.001953125,0.0008369999789999999,1223416.9960474994,1169526.490226373,1995,966,967,3928,2.9999995498908305e-07,388060.30268486944,
eficiencia_detector,0.12272727272727273,28,20156,20157,5.0,0.1,0.12272727272727273,100.0,0.98,4,1024,0,0.0,0.00080499998,1272049.7210447136,1272049.7210445728,1935,915,857,3707,2.9999995498908305e-07,388060.30268486944,
eficiencia_detector,0.12272727272727273,29,20158,20159,5.0,0.1,0.12272727272727273,100.0,0.98,4,1024,4,0.00390625,0.000868999978,1178365.9676916585,1084510.3750824672,1992,961,990,3943,2.9999995498908305e-07,388060.30268486944,
eficiencia_detector,0.19545454545454544,0,20200,20201,5.0,0.1,0.19545454545454544,100.0,0.98,4,1024,1,0.0009765625,0.0008369999789999999,1223416.9960474994,1193889.2782214251,1970,935,956,3861,2.9999995498908305e-07,616236.096445113,
